source,topic
Claim: US Congresswoman Katie Porter said pedophilia is a sexual identity,LGBTQ
Claim: Wizards have illegally manipulated the weather to cause devastating storms.,Gold_False
Claim: Reporters trying to get in are being arrested' after Ohio derailment,USA
Claim: Paris is located in France.,Gold_True
"Claim: “No administration has ever looked less like America, just by the numbers, than the Biden administration.”",USA
Claim: Water is a liquid at room temperature.,Gold_True
Claim: “Illegal immigrants” are kept in hotels and are fed and clothed as well as receiving benefits.,Illegal Immigration
Claim: A week contains seven days.,Gold_True
"Claim: U.S. President Joe Biden did not recognize British Prime Minister Rishi Sunak when they met in Belfast on April 11, 2023.",USA
Claim: People require oxygen to survive.,Gold_True
"Claim: The iconic red leather jacket worn by Michael Jackson in his ""Thriller"" music video sold at auction for $110 million.",Entertainment
Claim: An almond is a type of nut.,Gold_True
Claim: Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,Abortion
Claim: A circle is round.,Gold_True
Claim: You’ll never be able to have children if you have an abortion.,Abortion
"Claim: In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",LGBTQ
"Claim: The city of Buffalo, NY receives more precipitation in the form of rain than snow each year.",Weather
"Claim: The LGBTQ-focused dating app Grindr threatened to ""reveal every Republican legislator and party official who secretly uses"" it, if ""Florida doesn't stop passing homophobic and transphobic laws.""",LGBTQ
"Claim: “More contraception availability increases abortion demand.""",Abortion
Claim: A California ballot measure would 'extend abortions up to 9 months',Abortion
"Claim: In video testimony, U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.",Abortion
"Claim: Ten percent of the U.S. population lives in the Ohio River Basin, within which the East Palestine train derailment and chemical release occurred.",USA
Claim: The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,Weather
Claim: Abortion causes breast cancer.,Abortion
Claim: A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,Illegal Immigration
Claim: Abortions can be induced using pills.,Abortion
"Claim: ""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",LGBTQ
Claim: Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,Illegal Immigration
